Distance,LG,LL,LLG,LLL,None,Bus,Ia,Ib,Ic,Va,Vb,Vc
20,0,0,1,0,0,3,704.4,293.57,141.66,6231.7,3382.4,2059.5
55,0,0,0,1,0,2,264.05,264.05,264.05,6496.8,6496.7,6496.8
45,0,1,0,0,0,3,701.03,328.37,373.06,6149.4,3663.3,2751.5
80,1,0,0,0,0,2,155.8,62.216,72.869,7302.3,7723.3,7677.3
45,0,0,1,0,0,3,699.96,147.05,186.13,6189,2320.8,1388
40,0,1,0,0,0,1,723.42,762.42,869.74,36365,36350,35650
15,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
85,0,0,0,1,0,3,18.833,18.833,18.833,1362.3,1362.3,1362.3
20,1,0,0,0,0,3,653.13,701.29,702.35,5835.3,6158.9,6167.6
75,0,1,0,0,0,3,701.03,348.97,352.51,6149.4,3816.9,2619.1
25,0,0,1,0,0,3,704.83,549.41,498,6224.7,5177.4,4799
80,0,0,1,0,0,2,68.178,82.103,82.041,7703.2,7559.2,7552.7
90,0,0,1,0,0,1,729.94,786.52,785.44,36328,36030,36027
10,0,0,0,1,0,3,527.59,527.59,527.59,4984.7,4984.7,4984.7
15,0,0,0,1,0,3,87.113,87.113,87.114,799.71,799.71,799.71
30,0,1,0,0,0,1,723.38,1728.8,1773.5,36365,32388,30896
90,0,0,0,0,1,2,67.548,67.548,67.548,7707,7707,7707
25,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
45,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
60,0,0,0,0,1,2,67.549,67.549,67.549,7707,7707,7707
25,0,0,1,0,0,2,64.536,392.44,418.66,7710.6,4878.8,5512.5
25,0,0,0,1,0,2,435.08,435.08,435.08,4859.2,4859.1,4859.1
10,0,0,1,0,0,3,703.61,65.393,211.51,6223.4,1521.5,994.82
65,0,0,0,0,1,2,67.549,67.549,67.549,7707,7707,7707
65,0,0,0,0,1,2,67.549,67.549,67.549,7707,7707,7707
40,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
80,1,0,0,0,0,1,819.61,724.58,729.51,35864,36351,36338
50,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
70,0,0,0,1,0,3,675.52,675.52,675.52,6038.9,6038.9,6038.9
85,0,0,1,0,0,1,730.8,922.65,880.35,36318,35281,35522
90,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
75,0,0,1,0,0,2,68.022,84.27,84.61,7705.6,7536,7523
85,0,0,0,1,0,2,109.02,109.02,109.02,7302.9,7302.9,7302.9
75,0,0,0,1,0,2,206.53,206.53,206.53,6962.1,6962.1,6962.1
20,0,0,0,1,0,3,529.57,529.57,529.57,5049.3,5049.3,5049.3
10,1,0,0,0,0,3,650.78,701.05,702.36,5802.3,6153.4,6168.7
90,0,1,0,0,0,2,67.549,176.48,135.01,7707,6754.9,7878.2
40,0,0,0,0,1,2,67.55,67.55,67.55,7707,7707,7707
70,0,0,1,0,0,3,699.12,596.54,530.8,6186.8,5550.6,5090.2
85,0,0,0,1,0,1,772.89,772.89,772.89,36109,36109,36109
90,0,1,0,0,0,3,701.03,589.84,248.27,6149.4,5627.5,2780.7
55,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
20,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
45,1,0,0,0,0,2,227.81,68.098,65.079,6447.6,7627.3,7792.1
20,0,0,0,1,0,2,483.53,483.53,483.53,4321.6,4321.6,4321.6
55,0,0,1,0,0,1,725.4,1293.7,1257.5,36348,33330,33574
85,0,1,0,0,0,1,723.38,758.27,763.35,36365,36200,36145
35,0,0,0,1,0,3,618.28,618.28,618.28,5672.9,5672.9,5672.9
80,0,0,0,1,0,1,832.58,832.57,832.58,35801,35802,35799
10,0,1,0,0,0,3,701.02,622.5,525.1,6149.3,5722.9,4840
65,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
20,0,1,0,0,0,3,701.02,691.2,643.21,6149.4,6139,5744.4
15,0,0,1,0,0,3,702.89,640.5,634.78,6181.9,5754.9,5711.5
50,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
35,0,0,1,0,0,2,66.425,113.72,119.35,7732.5,7230.9,7141.5
30,1,0,0,0,0,1,1694.9,710.58,730.37,31276,36433,36321
40,1,0,0,0,0,1,922.41,722.33,727.18,35531,36372,36343
15,1,0,0,0,0,3,351.43,697.72,710.05,3641.2,6120,6290.7
50,0,0,0,1,0,3,190.71,190.71,190.71,2649.7,2649.7,2649.7
15,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
30,0,0,0,1,0,1,829.84,829.84,829.84,35987,35987,35987
20,0,0,1,0,0,3,702.53,97.084,213.68,6207.3,1924.7,1289.8
50,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
80,0,1,0,0,0,2,67.55,82.962,82.205,7707,7541.8,7572.5
15,0,0,1,0,0,1,699.89,3107.9,3128.9,36483,23945,23835
25,0,0,0,1,0,2,123.14,123.14,123.14,7132.3,7132.3,7132.3
80,0,0,0,1,0,1,755.01,755,755.01,36207,36207,36207
70,0,0,0,0,1,2,67.549,67.549,67.549,7707,7707,7707
30,0,1,0,0,0,1,723.38,764.44,907.71,36365,36436,35485
45,0,1,0,0,0,1,723.35,1197.5,1270,36366,34533,33443
85,0,0,0,1,0,1,923.89,923.9,923.9,35282,35281,35281
40,0,1,0,0,0,1,723.42,1589.9,1486.1,36365,32112,32771
70,1,0,0,0,0,1,986.03,714.68,738.37,34947,36395,36290
30,1,0,0,0,0,3,339.52,697,709.69,3579.1,6116.8,6291.8
30,0,0,0,1,0,3,531.16,531.16,531.16,5093.4,5093.4,5093.4
35,0,0,1,0,0,2,65.333,177.1,201.27,7743.8,6592.7,6264.6
90,0,0,0,1,0,3,25.29,25.29,25.29,1416.5,1416.6,1416.6
80,0,0,1,0,0,3,696.34,616.04,563.02,6163.1,5680.9,5313.6
20,0,0,1,0,0,3,702.58,656.73,652.63,6176.6,5869.7,5841.9
85,0,0,0,0,1,2,67.548,67.548,67.548,7707,7707,7707
20,0,1,0,0,0,3,701.02,285.91,415.12,6149.4,3339.5,2993.2
60,0,1,0,0,0,2,67.551,90.525,94.568,7707.1,7467.9,7443.3
75,0,0,0,0,1,2,67.549,67.549,67.549,7707,7707,7707
75,0,0,0,1,0,2,124.07,124.07,124.07,7138.2,7138.2,7138.2
20,0,0,1,0,0,2,63.477,207.84,233.67,7779.2,6286.5,5909.1
45,0,0,0,1,0,3,29.197,29.197,29.197,1178.5,1178.5,1178.5
30,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
30,0,0,1,0,0,3,702.64,660.14,654.95,6179.1,5904.7,5874.3
75,1,0,0,0,0,2,163.29,63.412,71.109,7263.5,7704,7697.1
55,0,0,1,0,0,2,67.383,93.257,95.36,7715.5,7440.2,7400.9
40,1,0,0,0,0,3,641.7,701.07,702.99,5784.2,6164.5,6174.4
35,1,0,0,0,0,3,640.16,701.22,702.93,5768.8,6164.6,6174.2
10,0,0,0,1,0,3,607.42,607.42,607.42,5527.9,5527.9,5527.9
50,0,1,0,0,0,2,67.551,236.86,214.65,7707,5940.6,7072.2
20,0,1,0,0,0,2,67.553,434.44,412.7,7706.9,3873.1,6572.5
45,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
65,1,0,0,0,0,3,536.81,695.82,706.06,5077,6131.7,6225.1
85,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
75,0,0,0,1,0,3,405.86,405.86,405.86,4254,4254,4254
50,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
80,1,0,0,0,0,1,778.99,724.88,726.44,36083,36351,36353
10,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
10,1,0,0,0,0,1,3446.6,694.99,711.03,21917,36542,36407
25,0,1,0,0,0,2,67.553,275.51,275.43,7707,5713.9,6061
60,0,0,1,0,0,3,701.99,640.57,616.96,6191.4,5817.1,5667.1
50,1,0,0,0,0,3,222.52,691.87,707.72,2443.6,6033.5,6310.1
70,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
25,0,1,0,0,0,1,723.39,2180.3,2085.7,36365,29542,30124
25,0,0,1,0,0,1,712.33,2289.5,2269,36418,28133,28378
90,0,0,0,0,1,2,67.548,67.548,67.548,7707,7707,7707
30,0,0,0,1,0,3,645.14,645.14,645.14,5827.8,5827.8,5827.8
25,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
25,0,0,1,0,0,1,717.47,1718,1929,36390,32055,30416
10,0,1,0,0,0,3,701.02,673.82,632.87,6149.3,6013.4,5651.8
10,0,1,0,0,0,3,701.02,446.72,332.22,6149.3,4555,3024.6
20,0,0,0,1,0,3,611.86,611.86,611.86,5593.8,5593.8,5593.8
30,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
20,0,0,0,1,0,2,337.5,337.5,337.5,4892.3,4892.3,4892.3
80,0,0,1,0,0,2,68.336,86.403,86.554,7702.2,7516.5,7505.7
40,0,0,1,0,0,2,66.859,100.48,103.65,7724.7,7364.9,7310.3
60,0,0,0,1,0,3,555.02,555.02,555.02,5299.8,5299.8,5299.8
90,1,0,0,0,0,1,814.06,722.23,734.96,35867,36363,36307
40,1,0,0,0,0,1,1447.2,712.2,731.64,32510,36429,36311
70,1,0,0,0,0,1,778.87,724.68,725.36,36098,36351,36358
90,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
10,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
25,1,0,0,0,0,1,1993.5,707.95,725.19,29617,36450,36346
25,0,0,0,1,0,2,315.68,315.68,315.68,5143.7,5143.7,5143.7
40,0,1,0,0,0,3,701.03,706.02,637.75,6149.4,6262,5725.5
20,0,1,0,0,0,3,701.02,298.85,402.23,6149.4,3439.7,2923.6
15,1,0,0,0,0,2,131.85,66.518,66.412,7024.4,7709.5,7751.7
40,0,0,0,1,0,2,101.8,101.8,101.8,7346,7345.6,7345.9
85,0,0,0,1,0,2,185.17,185.17,185.17,7122.4,7122.4,7122.4
40,1,0,0,0,0,3,252.97,694.17,709.86,2880.4,6076.3,6313
85,0,0,1,0,0,2,68.006,176.78,168,7695.6,6989.4,7424.6
30,0,0,0,1,0,3,56.519,56.519,56.519,1013.8,1013.8,1013.8
55,1,0,0,0,0,3,222.61,691.58,706.47,2460.1,6031,6300.8
60,0,0,1,0,0,1,727.41,830.51,848.29,36342,35875,35780
40,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
60,0,0,1,0,0,2,67.53,97.838,100.73,7714,7395,7344.3
40,1,0,0,0,0,3,220.91,692.13,709.77,2388.8,6034.5,6326.4
35,0,0,1,0,0,2,65.29,285.17,315.08,7715.3,5641.8,5714.6
25,0,1,0,0,0,3,701.02,656.54,486.2,6149.4,6014.9,4617.4
65,0,0,0,1,0,2,139.94,139.93,139.93,6965.6,6965.6,6965.6
75,1,0,0,0,0,1,769.93,724.7,725.35,36137,36358,36353
60,1,0,0,0,0,1,779.19,724.29,724.91,36112,36359,36359
30,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
90,0,0,0,0,1,2,67.548,67.548,67.548,7707,7707,7707
20,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
