Distance,LG,LL,LLG,LLL,Ia,Ib,Ic,Va,Vb,Vc
15,0,0,1,0,723.04,918.25,928.79,36363,35786,35771
55,1,0,0,0,967.31,722.79,729.83,35178,36363,36333
80,0,1,0,0,723.34,762.69,776.36,36366,36191,36077
20,0,0,1,0,720.48,1310.3,1441.4,36374,34325,33677
75,0,0,0,1,760.8,760.81,760.8,36183,36183,36182
75,0,0,0,1,1030.6,1030.7,1030.7,34716,34713,34720
25,0,0,0,1,2433.4,2433.4,2433.4,27292,27291,27290
30,1,0,0,0,879.4,721.67,726.39,35786,36372,36350
60,0,1,0,0,723.38,745.73,786.64,36365,36299,36047
60,0,1,0,0,723.38,1194.5,1081.2,36365,33945,34631
60,0,0,0,1,1198.2,1198.2,1198.2,33844,33846,33836
15,1,0,0,0,2168.7,701.56,731.58,29900,36480,36311
60,0,0,0,1,780.3,780.29,780.29,36109,36110,36108
30,0,1,0,0,723.38,1023.1,1240.3,36365,35886,33748
35,0,0,0,1,1183.1,1183.1,1183.1,34462,34462,34462
45,0,1,0,0,723.35,761.16,852.32,36366,36324,35725
15,0,1,0,0,723.37,1144.2,1469,36364,36390,32802
50,0,0,1,0,724.2,1391,1356.9,36355,32824,33060
35,0,0,0,1,860.31,860.32,860.32,35852,35853,35851
70,0,1,0,0,723.33,753.11,781.67,36367,36259,36055
70,0,0,1,0,726.52,777.67,782.8,36348,36109,36077
50,1,0,0,0,795.44,723.84,725.07,36056,36361,36356
85,0,0,0,1,749.49,749.49,749.49,36231,36231,36231
75,0,0,1,0,727.81,790.77,797.64,36342,36040,35989
80,0,1,0,0,723.34,748.99,760.75,36366,36253,36163
50,0,0,1,0,726.75,863.6,889.95,36346,35763,35623
45,0,1,0,0,723.35,746.09,820.26,36366,36355,35887
20,0,0,0,1,2511.3,2511.3,2511.3,27487,27484,27489
50,0,0,0,1,1029.6,1029.6,1029.6,34963,34963,34963
60,0,0,0,1,1119.9,1119.9,1119.9,34318,34321,34312
60,0,1,0,0,723.38,1191.2,1083,36365,33970,34610
45,1,0,0,0,804.29,723.52,725.17,36029,36361,36358
15,0,1,0,0,723.37,1918.7,2177.5,36364,34181,28752
65,1,0,0,0,1036.6,714.6,737.44,34680,36403,36293
40,0,0,1,0,725.83,1067.6,1160.1,36349,34911,34365
90,1,0,0,0,747.24,724.32,725.44,36239,36358,36355
70,1,0,0,0,778.87,724.68,725.36,36098,36351,36358
85,1,0,0,0,859.93,719.18,738.31,35617,36379,36288
80,1,0,0,0,752.49,724.45,724.81,36219,36356,36360
35,0,0,1,0,724.73,1117.1,1222.7,36355,34765,34149
35,0,0,1,0,724.72,817.77,825.88,36357,36011,35973
85,0,0,1,0,732.04,891.04,877.99,36313,35461,35517
90,1,0,0,0,780.74,724.38,729.37,36056,36355,36336
85,0,0,0,1,924.24,924.25,924.25,35282,35280,35281
55,1,0,0,0,810.55,724.14,725.57,35976,36358,36354
65,0,1,0,0,723.34,844.5,897.62,36365,35884,35438
80,0,1,0,0,723.34,923.64,870.55,36366,35346,35565
50,0,0,0,1,877.98,877.99,877.99,35698,35698,35698
50,1,0,0,0,1164.9,718.25,733.31,34071,36387,36311
65,0,0,1,0,729.46,1011.3,1048.1,36328,34897,34641
10,0,1,0,0,723.37,1189.9,1556.6,36364,36719,32512
55,0,0,1,0,727.73,1120.6,1184.2,36337,34398,33933
65,1,0,0,0,1036.6,714.77,737.41,34680,36402,36294
15,1,0,0,0,2755.9,701.64,716.96,25578,36492,36385
