Distance,LG,LL,LLG,LLL,Ia,Ib,Ic,Va,Vb,Vc
30,0,0,1,0,701.87,129.64,194.24,6202.7,2191,1340.9
30,0,0,0,1,44.187,44.187,44.187,1094.5,1094.5,1094.5
20,0,1,0,0,701.02,298.85,402.23,6149.4,3439.7,2923.6
50,0,1,0,0,701.03,490.81,243.67,6149.4,4893,2344.5
50,0,0,1,0,698.93,140.51,194.59,6181,2271.4,1428.1
40,1,0,0,0,641.7,701.07,702.99,5784.2,6164.5,6174.4
15,0,1,0,0,723.37,2943.4,2861.9,36364,26546,26825
90,1,0,0,0,202.47,678.99,682.23,2393.5,5905.3,6139.1
75,0,0,0,1,773.11,773.13,773.12,36122,36121,36122
45,1,0,0,0,804.29,723.52,725.17,36029,36361,36358
45,0,1,0,0,723.35,1463.2,1357.8,36366,32696,33346
30,0,0,1,0,703.34,302.39,125.35,6222.5,3463.5,1952.6
70,0,1,0,0,701.03,520.72,225.14,6149.4,5116.6,2320
60,1,0,0,0,621.14,699.07,704.24,5662.7,6154.9,6189.8
35,0,0,1,0,724.96,853.88,869.99,36355,35873,35798
80,0,0,0,1,263.87,263.87,263.87,3195.6,3195.6,3195.6
10,1,0,0,0,179.3,689.56,716.46,1566.1,5995.7,6404.2
50,0,0,0,1,654,654,654,5909.6,5909.6,5909.6
35,1,0,0,0,823.3,722.69,725.49,35981,36369,36352
75,1,0,0,0,908.2,721.38,734.77,35379,36372,36303
60,1,0,0,0,666.22,700.2,702.77,5954.8,6156.3,6168.4
50,0,0,1,0,699,151.14,183.52,6182.1,2349.8,1393.3
35,1,0,0,0,1438.5,714.47,731.85,32745,36414,36312
65,0,0,1,0,726.51,786.24,793.09,36347,36070,36041
85,1,0,0,0,842.03,722.05,734.94,35722,36365,36307
45,0,0,0,1,1577.4,1577.4,1577.4,31826,31827,31822
60,0,0,1,0,696.36,158.05,178.15,6162.6,2397.9,1396.2
50,0,0,1,0,702.28,667.67,661.09,6178.1,5969.4,5934.7
45,1,0,0,0,1333.6,713.1,733.12,33108,36412,36313
15,0,0,1,0,709.93,2111.4,2397.7,36426,30951,28856
20,0,1,0,0,701.02,466.54,292.96,6149.4,4710.2,2734.6
15,1,0,0,0,927.44,719.11,727.47,35753,36385,36343
80,0,1,0,0,701.03,338.88,362.43,6149.4,3740.4,2674.7
90,1,0,0,0,204.02,678.2,683.31,2437.6,5902.7,6146.4
40,0,0,0,1,186.34,186.34,186.34,2619.8,2619.8,2619.8
15,0,1,0,0,723.37,2463.2,2596.9,36364,31151,26488
55,0,0,1,0,728.23,949.6,1003.9,36336,35323,34994
20,0,0,1,0,704.91,545.77,502.76,6223.1,5137.7,4815.7
45,1,0,0,0,1241.5,717.24,732.85,33691,36389,36317
45,0,0,0,1,1494.3,1494.3,1494.3,32319,32320,32315
10,1,0,0,0,650.78,701.05,702.36,5802.3,6153.4,6168.7
35,0,0,1,0,718.8,1815.4,1784,36385,30607,30873
25,1,0,0,0,1993.5,707.95,725.19,29617,36450,36346
90,0,1,0,0,701.03,712.21,655.71,6149.4,6291.5,5855.5
85,0,0,1,0,725.78,747.96,748.48,36352,36240,36235
75,1,0,0,0,842.79,724.45,729.6,35753,36358,36331
30,1,0,0,0,655.36,701.32,702.4,5863.1,6161.9,6167.3
50,0,1,0,0,701.03,711.41,617.4,6149.4,6325.4,5593
85,0,0,0,1,924.24,924.25,924.25,35282,35280,35281
15,0,0,0,1,1051.7,1051.7,1051.7,35425,35424,35426
40,0,0,1,0,702.04,308.87,116.46,6212.7,3515.5,1901.5
30,1,0,0,0,248.83,694.68,711.02,2834.8,6079.6,6322
65,0,0,1,0,729.46,1011.3,1048.1,36328,34897,34641
70,1,0,0,0,274.4,689.41,704.13,3092.6,6040.6,6271.2
45,0,0,0,1,1362.7,1362.7,1362.7,33165,33166,33162
15,0,0,0,1,3337.6,3337.6,3337.6,22498,22498,22499
50,0,1,0,0,701.03,592.59,271.15,6149.4,5643.1,2963.1
50,0,1,0,0,701.03,332.11,369.33,6149.4,3691.2,2727.2
60,0,0,1,0,701.27,581.4,508.04,6204,5445,4925.4
45,0,0,1,0,726.72,1023.7,1102.9,36344,35052,34585
65,0,0,1,0,729.26,890.22,923.07,36331,35556,35364
90,0,0,0,1,25.29,25.29,25.29,1416.5,1416.6,1416.6
65,1,0,0,0,1023.3,717.8,736.27,34756,36386,36301
55,0,1,0,0,723.38,746.07,797.1,36364,36316,35993
45,1,0,0,0,1304,715.05,733.45,33286,36401,36313
45,0,0,1,0,725.66,827.85,841.73,36352,35935,35872
60,1,0,0,0,651.93,699.84,703.3,5865.1,6156.6,6175.5
35,0,1,0,0,723.42,989.04,1176.1,36365,35827,34045
90,0,1,0,0,701.03,715.29,632.34,6149.4,6340.8,5699.8
25,0,0,1,0,724.02,837.86,845.01,36359,35973,35952
75,1,0,0,0,769.93,724.7,725.35,36137,36358,36353
45,0,0,0,1,803.27,803.27,803.27,36040,36039,36040
90,0,0,0,1,684.94,684.94,684.94,6081.8,6081.8,6081.8
85,0,0,1,0,732.04,891.04,877.99,36313,35461,35517
65,1,0,0,0,771.8,724.42,724.85,36140,36357,36362
25,0,1,0,0,723.39,743.12,875.43,36365,36492,35650
90,0,1,0,0,701.03,675.82,386.05,6149.4,6222.6,3943.1
35,0,0,0,1,1183.1,1183.1,1183.1,34462,34462,34462
45,0,1,0,0,723.35,1197.5,1270,36366,34533,33443
10,0,0,0,1,652.52,652.52,652.52,5829.7,5829.7,5829.7
75,1,0,0,0,941.67,714.64,739.39,35184,36408,36275
30,0,0,0,1,531.16,531.16,531.16,5093.4,5093.4,5093.4
40,0,0,1,0,703.95,560.52,490.82,6222.5,5283.6,4781.7
50,1,0,0,0,612.75,700.1,704.09,5599.2,6162.2,6189.6
50,0,0,0,1,190.71,190.71,190.71,2649.7,2649.7,2649.7
85,1,0,0,0,746.92,724.34,724.85,36244,36359,36358
35,1,0,0,0,1586.8,711.16,729.92,31771,36435,36318
45,0,0,0,1,834.35,834.34,834.35,35911,35911,35912
25,0,0,1,0,712.44,2279,2270.4,36417,28213,28333
65,0,1,0,0,723.34,776.54,824.79,36365,36171,35839
90,0,1,0,0,701.03,346.32,355.07,6149.4,3796.4,2630.9
85,1,0,0,0,767.59,724.74,726.44,36136,36355,36350
20,1,0,0,0,202.8,691.4,713.41,2090.9,6021.7,6362.8
70,0,0,1,0,695.53,468.26,295.88,6170.1,4678.2,3383.4
75,0,0,0,1,1031.2,1031.3,1031.3,34715,34711,34719
20,0,0,0,1,196.24,196.24,196.24,2677.9,2677.9,2677.9
70,0,1,0,0,701.03,718.83,592.68,6149.4,6407.4,5432.5
85,0,1,0,0,723.38,889.27,831.72,36365,35505,35769
60,0,1,0,0,701.03,715.18,621.7,6149.4,6350.8,5626.9
15,0,0,0,1,3325.9,3325.9,3325.9,22555,22554,22555
10,0,0,0,1,527.59,527.59,527.59,4984.7,4984.7,4984.7
20,0,0,0,1,529.57,529.57,529.57,5049.3,5049.3,5049.3
75,0,0,0,1,796.82,796.84,796.83,36002,36001,36003
25,0,0,0,1,839.43,839.43,839.43,35976,35976,35976
70,0,0,1,0,700.83,649.99,628.51,6180.8,5881.3,5745.7
65,0,0,0,1,1165.2,1165.2,1165.2,34006,34010,33996
20,0,1,0,0,701.02,285.91,415.12,6149.4,3339.5,2993.2
55,0,1,0,0,723.38,786.91,865.58,36364,36189,35634
70,0,1,0,0,701.03,708.09,486.77,6149.4,6409.5,4688.5
90,0,0,1,0,693.24,641.07,601.52,6133.6,5841.3,5564.1
25,0,1,0,0,723.39,2190.1,2085,36365,29425,30208
15,0,0,1,0,718.88,1395,1521,36381,34212,33666
80,0,1,0,0,701.03,548.24,222.69,6149.4,5322.1,2429.1
75,0,0,1,0,728.98,1017.6,976.33,36329,34785,35022
10,0,0,0,1,102.45,102.45,102.45,659.99,659.98,659.98
70,0,0,1,0,691.99,152.1,184.12,6129.1,2351.7,1424.8
90,1,0,0,0,678.59,695.77,704.62,6033.9,6119.6,6183.2
10,1,0,0,0,634.73,701.01,702.79,5690.1,6153.9,6175.1
10,0,0,0,1,607.42,607.42,607.42,5527.9,5527.9,5527.9
